,pl,en
southern_hegemony_name,Południowa Hegemonia,Southern Hegemony
vegas_name,Vegas,Vegas
tuareg_name,Człowiek Pustyni,Tuareg
new_york_name,Nowy Jork,New York
texas_name,Texas,Texas
apallachian_federation_name,Federacja Appalachów,Apallachian Federation
miami_name,Miami,Miami
none_of_your_fucking_business_name,Nie twój zasrany interes,None of your fucking business
salt_lake_city_name,Salt Lake City,Salt Lake City
mississippi_name,Missisipi,Mississippi
outpost_name,Posterunek,Outpost
detroit_name,Detroit,Detroit
