,pl,en
tastes_like_arsenic_name,Smakuje jak arszenik,Tastes like arsenic
pharmacist_name,Farmaceuta,Pharmacist
one_of_them_name,Jeden z nich,One of them
brave_or_stupid?_name,Odważny czy głupi?,Brave or stupid?
diehard_name,Nie do zdarcia,Diehard
teaspoon_name,Łyżeczka,Teaspoon
trade_route_name,Trakt handlowy,Trade route
used_car_salesman_name,Szklarz,Used car salesman
look_me_in_the_eyes_name,Spójrz mi w oczy,Look me in the eyes
amen_name,Amen,Amen
gunslinger_name,Rewolwerowiec,Gunslinger
last_bullet_name,Ostatnia kula,Last Bullet
friends_name,Znajomości,Friends
hiding_hole_name,Skrytka,Hiding Hole
photographic_memory_name,Fotograficzna pamięć,Photographic Memory
persistent_name,Nieugięty,Persistent
no_mysteries_name,Bez tajemnic,No mysteries
mutant_for_breakfast_name,Mutant na śniadanie,Mutant for Breakfast
merciless_name,Bezlitosny,Merciless
classe_name,Klasa,Classe
respect_for_job_name,Reputacja,Respect for job
field_paramedic_name,Sanitariusz polowy,Field paramedic
matches_and_a_safety_pin_name,Zapałki i agrafka,Matches and a safety pin
troublesome_surplus_name,Kłopotliwy nadmiar,Troublesome surplus
reputation_name,Reputacja,Reputation
killing_machine_name,Maszyna do zabijania,Killing machine
mute_name,Wyciszenie,Mute
before_he_does_name,Zanim on,Before he does
a_uniform_and_a_badge_name,Mundur i odznaka,A uniform and a badge
one_of_us_name,Jeden z nas,One of us
education_name,Wykształcenie,Education
focus_name,Skupienie,Focus
the_spirits_have_spoken_name,Duchy przemówiły,The Spirits have spoken
totem_name,Totem,Totem
what_do_i_care_anyway_name,A co mi tam,What do I care anyway
grey_name,Szary,Grey
beast_name,Bestia,Beast
wolf_s_fang_name,Wilczy kieł,Wolf’s fang
keen_senses_name,Wyczulone zmysły,Keen senses
recognizing_creatures_name,Rozpoznawanie stworzeń,Recognizing creatures
door_to_door_name,Drzwi w drzwi,Door to door
car_cover_name,Osłona samochodu,Car cover
us_and_them_name,My i oni,Us and them
this_is_my_home_name,To mój dom,This is my home
end_of_the_job_name,Koniec zlecenia,End of the job
one_shot_name,Jeden strzał,One shot
weak_spot_name,Słaby punkt,Weak spot
empiricist_name,Empiryk,Epiricist
electronics_engineer_name,Elektronik,Electronics Engineer
cat_name,Kot,Cat
combat_training_name,Wyszkolenie,Combat training
routine_name,Rutyna,Routine
