,pl,en
chemist_name,Chemik,Chemist
ganger_name,Ganger,Ganger
gladiator_name,Gladiator,Gladiator
trader_name,Handlarz,Trader
new_age_preacher_name,Kaznodzieja Nowej Ery,New Age Preacher
cowboy_name,Kowboj,Cowboy
courier_name,Kurier,Courier
hunter_name,Łowca,None of your fucking business
mutant_hunter_name,Łowca mutantów,Salt Lake City
mobster_name,Mafiozo,Mississippi
medic_name,Medyk,Outpost
technician_name,Monter,Detroit
mercenary_name,Najemnik,Mercenary
bodyguard_name,Ochroniarz,Bodyguard
judge_name,Sędzia,Judge
specialist_name,Spec,Specialist
shaman_name,Szaman,Shaman
rat_name,Szczur,Rat
beast_trainer_name,Treser Bestii,Beast Trainer
tracker_name,Tropiciel,Tracker
highway_warrior_name,Wojownik autostrady,Highway Warrior
clan_warrior_name,Wojownik klanu,Clan Warrior
assassin_name,Zabójca,Assassin
machine_slayer_name,Zabójca maszyn,Machine Slayer
thief_name,Złodziej,Thief
soldier_name,Żołnierz,Soldier
